ATLAS_ID,Nnondet_std,Nnondet_mean,magdet_std,DET_Nsince_min5d,NON_Nsince_min5d,log10_std_ra_min5d,log10_std_dec_min5d,DET_mag_median_min5d,ra,dec,rb_pix,z,photoz,ebv_sfd,log10_sep_arcsec,CV
1033104400481552000,0.6749485577105528,0.3,0.144774191991068,8,2,-3.8924126304541167,-4.039342596450586,19.0635,52.76814,-48.26416,0.997399,,,0.010335205,,False
1213919730511939200,1.3038404810405295,0.8,0.24187145346237,5,8,-3.9289617694878456,-3.654105737794476,18.352,324.83238,-51.32726,0.996437,,,0.028666863,,False
1230601950342727300,0.5,0.25,0.0737337552730543,4,4,-3.5632428232433546,-3.801029995661256,19.3615,346.50815,-34.45763,0.996592,,,0.019810308,-0.712850134175364,False
1144029910211856000,0.5,0.25,0.1811772612664192,6,19,-3.2013407560888125,-3.8581609715495846,18.5575,220.12463,-21.31557,1.0,,,0.09312977,0.5983243229961415,False
1095431950531446400,21.617122842783683,10.4,0.2697947367907694,3,4,-4.037860357000195,-3.537602002098864,18.661,148.633,-53.2457,0.33756,,,1.6971978,,False
1180415421672933000,13.318324886327778,5.6,0.1744089702076389,8,10,-3.451473656830539,-3.8511197444474607,19.140500000000003,271.06456,67.49231,0.999583,0.0583,,0.049907595,1.042319486964648,False
1233321311121901200,11.072762103741804,7.333333333333333,0.2645033510700247,7,26,-3.390320025382634,-3.476631674694468,19.017,353.33867,12.31682,0.229249,,,0.06520473,,False
1084730160475735700,0.2886751345948129,0.0833333333333333,0.2041499125965695,14,1,-3.7821023105263074,-4.075465872045842,18.5955,131.87625,-47.95996,0.998155,,,0.94475985,,False
1190615521363953300,113.39841268730352,52.2,0.1752292783755053,3,20,-3.4031131505860466,-3.6093617253130295,19.44,286.56475,36.66556,0.284451,,,0.121936455,0.7646250902392293,False
1090804030640834200,0.0,0.0,0.0285014619508104,3,8,-3.455931955647273,-4.57745097996523,19.857,137.01738,-64.14279,0.999571,,,0.19803819,0.0301084618517503,False
1191025051022837400,0.5773502691896258,0.3333333333333333,0.2468265247766801,4,8,-4.241292075257101,-4.1182860032200646,18.725,287.6044,2.47708,0.960691,,,0.8802149,0.2709877041749396,False
1185542130473256600,0.7071067811865476,1.5,0.1872324758154928,3,9,-3.953289157430347,-4.325523225989014,19.552,283.92557,-47.54907,0.905675,,,0.052978277,0.9310946592355326,False
1103140551040911000,8.57126983980009,4.666666666666667,0.5060472404072656,5,18,-3.790600854702765,-3.928805266940757,18.753,157.91938,4.15319,0.41338,,,0.040068045,,False
1094250410104211100,16.967348322319225,11.090909090909092,0.3418175572205774,3,7,-4.460409376915483,-4.020479303839787,18.671,145.71001,-10.70304,0.47273,,,0.047465656,,False
1192930921102329500,0.0,0.0,0.1585525675183688,4,12,-4.061506407756603,-3.9158494926875016,19.2635,292.37885,10.39155,0.804994,,,1.0169475,0.7378253107127535,False
1173912390185256600,13.842337017918869,8.117647058823529,0.1875511498859167,9,3,-3.710537205314733,-3.747067163707923,17.353,264.8012,-18.88185,0.257798,,,0.63856226,0.2714894878754288,False
1173742801560258200,13.672204162704222,10.5625,0.2100180845387683,3,11,-3.4153097523645406,-3.5802609763132094,19.018,264.42801,56.04965,0.549988,,,0.05279738,,False
1181330090011133600,0.0,0.0,0.1749777128665234,5,20,-4.270303756245938,-4.150514997831526,18.5,273.37542,-1.19276,0.999952,,,1.3901101,0.9268947690167276,False
1144027550562813600,6.297546419764677,3.25,10.4892160278444,5,7,-3.5397557176757304,-3.4467855526052844,18.977,220.11408,-56.47082,0.292286,,,1.0267711,,False
1030045810093459100,7.293452162347021,4.777777777777778,0.1748319033942158,5,4,-3.621796063723584,-4.272577570001782,18.908,45.19066,-9.58306,0.407156,,,0.057221983,0.5519540727109851,False
1030114491473413800,0.408248290463863,0.1666666666666666,0.1194286165223579,9,1,-3.975876234110349,-4.801029995867594,17.483,45.3104,47.57052,0.999992,,,0.2601138,,False
1013004641395410600,1.5275252316519468,1.3333333333333333,0.3492147142757125,4,12,-3.760476412121381,-3.42741475051672,18.721,22.51957,39.90284,0.201012,,0.229124,0.057050403,1.256930422769036,False
1173317860311254700,27.94460768916069,14.142857142857142,0.2300539895225418,4,4,-3.8573151253193454,-3.621175479776734,18.836,263.3243,-31.21519,0.74294,,,5.77661,0.2456510084211253,False
1100911791182038700,0.0,0.0,0.2102265444704843,6,30,-3.7014999744275854,-3.290636731530621,17.9785,152.29919,18.34453,0.99979,,,0.03939893,,False
1090130530313946800,0.0,0.0,0.3260111194422672,9,15,-4.516278016977474,-4.559275968958634,17.858,135.37722,-31.66303,0.999999,,,0.3744637,-0.948316747752689,False
1184013460161038000,4.024922359499621,1.8,0.3444507221650145,4,1,-4.057696709352718,-3.3612813520391374,17.674500000000002,280.05618,-16.17733,0.343031,,,0.6148039,0.2792514363611246,False
1165806841443649200,9.80624800828533,9.8125,0.1684588475958838,3,5,-4.276420984345331,-4.132466825170271,19.092,254.52822,44.61353,0.560976,,,0.011116315,,False
1175629560490002100,21.88929020413924,6.153846153846154,0.2762853643682611,12,5,-4.051019930437458,-3.968637805054152,18.3645,269.12386,-49.00111,0.999936,,,0.13311438,,False
1221256940412126900,12.737271891503896,8.285714285714286,0.3349663806868932,5,15,-3.768277484117905,-3.824198463795907,18.339,333.2374,-41.35736,0.720271,,,0.01212232,,False
1111911380463126200,1.7320508075688772,1.0,0.1047902667235839,3,9,-3.5166163539748725,-3.376463667604608,18.513,169.79732,-46.52448,0.684527,,,0.14395489,,False
1175405840222029500,8.227663364798321,3.7777777777777777,0.1934427851099931,4,16,-3.650406451370533,-3.5333618339218207,18.555,268.52448,-22.34195,0.42557,,,2.1838925,0.5050683213235169,False
1154418231421159100,40.754958798490605,18.83333333333333,0.3046825670540857,3,20,-3.5237652262664003,-3.4118096538731684,19.197,236.07597,42.19942,0.490473,,,0.023733735,,False
1060146410345907900,6.854352110677044,3.125,0.5855410044199666,4,4,-3.663220776052096,-3.801319718525441,18.6035,90.44265,-34.98497,0.343982,0.004356,,0.04368682,2.161170395434856,False
1212439040473630400,0.7071067811865476,0.5,0.2252206325657868,3,5,-3.274388309724025,-3.77156404545194,17.26,321.16307,-47.60823,0.959936,,,0.031754147,,False
1184054640105506500,0.408248290463863,0.1666666666666666,0.1581510880982689,6,5,-4.315701618473545,-4.111407461191633,18.0045,280.22768,-10.91839,0.993805,,,1.3298755,-0.2825906622952073,False
1122958880423151300,0.0,0.0,0.1340655933986534,4,4,-3.245331520990635,-3.933896846555324,18.351,187.49611,-42.53077,0.963071,,,0.09573735,,False
1171032571425113800,17.845082507429595,13.916666666666666,0.2191688155212094,5,28,-3.634004275457834,-3.770077678800618,19.239,257.6358,42.8535,0.440421,,,0.019602172,,False
1140033950464755400,29.736621641784843,22.33333333333333,0.3756001863684317,3,9,-3.2428589760659507,-3.755489760993829,19.044,210.14172,-46.79836,0.204617,,,0.118737064,,False
