ATLAS_ID,dayN,DET_mag_median,DET_N_total,NON_mag_median,NON_N_total,max_mag,max_mag_day,Nnondet_std,Nnondet_mean,magdet_std,DET_Nsince_min5d,NON_Nsince_min5d,log10_std_ra_min5d,log10_std_dec_min5d,DET_mag_median_min5d,ra,dec,rb_pix,z,photoz,ebv_sfd,log10_sep_arcsec,CV
1172826760144748600,2,,,19.035,16.0,19.1215,0.0,0.0,0.0,0.1137845185720215,4,8,-3.770115342034961,-3.6326000852036944,19.1215,262.11133,-14.79703,0.998881,,,0.48397774,0.3412940419519886,False
1172826760144748600,3,,,19.305,20.0,19.1215,0.0,0.0,0.0,0.1137845185720215,4,8,-3.770115342034961,-3.6326000852036944,19.1215,262.11133,-14.79703,0.998881,,,0.48397774,0.3412940419519886,False
1172826760144748600,4,,,19.46,24.0,19.1215,0.0,0.0,0.0,0.1137845185720215,4,8,-3.770115342034961,-3.6326000852036944,19.1215,262.11133,-14.79703,0.998881,,,0.48397774,0.3412940419519886,False
1172826760144748600,5,,,19.355,28.0,19.1215,0.0,0.0,0.0,0.1137845185720215,4,8,-3.770115342034961,-3.6326000852036944,19.1215,262.11133,-14.79703,0.998881,,,0.48397774,0.3412940419519886,False
1172826760144748600,8,,,18.63,33.0,19.1215,0.0,0.0,0.0,0.1137845185720215,4,8,-3.770115342034961,-3.6326000852036944,19.1215,262.11133,-14.79703,0.998881,,,0.48397774,0.3412940419519886,False
1172826760144748600,9,,,19.03,37.0,19.1215,0.0,0.0,0.0,0.1137845185720215,4,8,-3.770115342034961,-3.6326000852036944,19.1215,262.11133,-14.79703,0.998881,,,0.48397774,0.3412940419519886,False
1172826760144748600,11,,,18.595,41.0,19.1215,0.0,0.0,0.0,0.1137845185720215,4,8,-3.770115342034961,-3.6326000852036944,19.1215,262.11133,-14.79703,0.998881,,,0.48397774,0.3412940419519886,False
1172826760144748600,12,,,18.33,45.0,19.1215,0.0,0.0,0.0,0.1137845185720215,4,8,-3.770115342034961,-3.6326000852036944,19.1215,262.11133,-14.79703,0.998881,,,0.48397774,0.3412940419519886,False
1154137761372733500,1,,,18.96,24.0,18.779,-2.0,11.877148928369412,6.5,0.7702245451814691,4,24,-3.676512389959471,-3.4717540258195454,18.7965,235.4071,37.45902,0.982401,,,0.014544714,,False
1154137761372733500,2,,,19.14,28.0,18.779,-2.0,11.877148928369412,6.5,0.7702245451814691,4,24,-3.676512389959471,-3.4717540258195454,18.7965,235.4071,37.45902,0.982401,,,0.014544714,,False
